time,count,mean,std,min,25_percent,50_percent,75_percent,max
0,31.0,0.49903225806451623,0.4077528241366304,-0.02,0.095,0.41,0.895,1.19
1,31.0,0.4490322580645162,0.38554165221334746,-0.02,0.02,0.5,0.845,1.07
2,31.0,0.4151612903225807,0.37337086984875095,-0.02,0.015,0.36,0.76,1.01
3,31.0,0.3854838709677419,0.3566963106965309,-0.02,0.01,0.37,0.675,0.98
4,31.0,0.39387096774193553,0.36440524529114415,-0.02,0.025,0.4,0.7,0.98
5,31.0,0.4193548387096775,0.37310351989647567,-0.02,0.045,0.44,0.73,1.06
6,31.0,0.5187096774193548,0.4544868310192194,-0.01,0.055,0.51,0.845,1.26
7,31.0,0.6509677419354839,0.5543606217298729,0.0,0.155,0.57,1.02,1.88
8,31.0,0.6954838709677419,0.5821044505909996,0.0,0.16,0.65,1.0,1.85
9,31.0,0.607741935483871,0.48763175776685797,0.0,0.11499999999999999,0.58,1.01,1.49
10,31.0,0.5335483870967743,0.41728126714960323,0.0,0.11,0.48,0.855,1.26
11,31.0,0.4774193548387097,0.39620674520537447,0.0,0.07,0.45,0.79,1.16
12,31.0,0.44741935483870965,0.39383556417990384,-0.02,0.05,0.42,0.7649999999999999,1.14
13,31.0,0.39967741935483875,0.3774430100113812,-0.02,0.01,0.3,0.675,1.08
14,31.0,0.4025806451612903,0.3813919046679367,-0.02,0.025,0.3,0.665,1.16
15,31.0,0.4829032258064516,0.41954096779207867,0.0,0.045,0.39,0.835,1.23
16,31.0,0.605483870967742,0.4205380578075142,0.0,0.21500000000000002,0.59,0.9550000000000001,1.3
17,31.0,0.7767741935483871,0.5069805196571442,0.0,0.28500000000000003,0.87,1.1949999999999998,1.56
18,31.0,0.8967741935483872,0.6252166936178964,0.02,0.29500000000000004,0.95,1.45,1.97
19,31.0,0.9180645161290322,0.7469690727860991,0.02,0.26,0.63,1.44,2.33
20,31.0,0.7209677419354837,0.5312021262426678,0.0,0.23,0.58,1.205,1.72
21,31.0,0.6261290322580644,0.45671783717706826,0.0,0.21000000000000002,0.53,1.07,1.35
22,31.0,0.5838709677419355,0.43025323875871707,0.0,0.17,0.55,0.985,1.26
23,31.0,0.5274193548387096,0.39348839662634266,-0.01,0.155,0.49,0.885,1.11
