index,timeslot,total_demand,total_generation,consumption_from_grid,consumption_from_generation,grid_charge_power,generation_charge_power,discharge_power,battery_capacity
0,1:00,15.333551670216114,0.0,21.333551670216114,0.0,6.0,0.0,0.0,0.0
1,2:00,13.579181512902753,0.0,43.57918151290275,0.0,30.0,0.0,0.0,6.0
2,3:00,12.548114354952913,0.0,42.548114354952915,0.0,30.0,0.0,0.0,36.0
3,4:00,12.187293357321959,0.0,12.187293357321959,0.0,0.0,0.0,0.0,66.0
4,5:00,12.93076771718515,0.0,4.973799150320701e-14,0.0,0.0,0.0,12.9307677171851,66.0
5,6:00,15.33830610030772,0.0,2.1316282072803006e-14,0.0,0.0,0.0,15.3383061003077,53.0692322828149
6,7:00,22.68488288319137,0.0,-2.842170943040401e-14,0.0,0.0,0.0,22.6848828831914,37.7309261825071
7,8:00,28.15052134460476,0.0,13.104478045288959,0.0,0.0,0.0,15.0460432993158,15.0460432993158
8,9:00,24.172238996300997,1.218972543712101,22.9532664525889,1.2189725437121,0.0,0.0,0.0,0.0
9,10:00,19.916071792990135,3.770632156186495,16.145439636803644,3.77063215618649,0.0,0.0,0.0,0.0
10,11:00,17.77393304602986,5.512850666790027,18.26108237923983,5.51285066679003,6.0,0.0,0.0,0.0
11,12:00,16.81055769313685,6.315885160769238,40.49467253236765,6.31588516076924,23.6841148392308,6.31588516076924,0.0,6.0
12,13:00,16.540165901407754,6.226889882342415,40.313276019065356,6.22688988234242,23.7731101176576,6.22688988234242,0.0,36.0
13,14:00,15.87746489892863,5.332568462365199,10.54489643656343,5.3325684623652,0.0,0.0,0.0,66.0
14,15:00,15.441689295035212,3.709253543698541,11.732435751336673,3.70925354369854,0.0,0.0,0.0,66.0
15,16:00,16.489999428309243,1.402479413151357,15.087520015157883,1.40247941315136,0.0,0.0,0.0,66.0
16,17:00,21.62730579728679,0.0,15.627305797286791,0.0,0.0,0.0,6.0,66.0
17,18:00,34.55704800715373,0.0,4.557048007153732,0.0,0.0,0.0,30.0,60.0
18,19:00,41.65394332694331,0.0,11.653943326943313,0.0,0.0,0.0,30.0,30.0
19,20:00,39.95122237119363,0.0,39.95122237119363,0.0,0.0,0.0,0.0,0.0
20,21:00,38.047977441257665,0.0,38.047977441257665,0.0,0.0,0.0,0.0,0.0
21,22:00,34.10432885940146,0.0,34.10432885940146,0.0,0.0,0.0,0.0,0.0
22,23:00,27.627941468329645,0.0,27.627941468329645,0.0,0.0,0.0,0.0,0.0
23,0:00,19.94502456462782,0.0,19.94502456462782,0.0,0.0,0.0,0.0,0.0
