index,timeslot,total_demand,total_generation,consumption_from_grid,consumption_from_generation,grid_charge_power,generation_charge_power,discharge_power,battery_soc
0,1:00,10.108570816668598,0.0,10.108570816668598,0.0,0.0,0.0,0.0,0.0
1,2:00,8.934908333831022,0.0,8.934908333831022,0.0,0.0,0.0,0.0,0.0
2,3:00,8.238512677229302,0.0,25.031344879754403,0.0,16.7928322025251,0.0,0.0,0.0
3,4:00,7.989323983846736,0.0,37.98932398384674,0.0,30.0,0.0,0.0,16.7928322025251
4,5:00,8.474367065566291,0.0,38.47436706556629,0.0,30.0,0.0,0.0,46.7928322025251
5,6:00,10.066571104439657,0.0,-4.263256414560601e-14,0.0,0.0,0.0,10.0665711044397,76.7928322025251
6,7:00,14.87379409313695,0.0,-4.973799150320701e-14,0.0,0.0,0.0,14.873794093137,66.7262610980854
7,8:00,17.365595153044485,0.0,-1.4210854715202004e-14,0.0,0.0,0.0,17.3655951530445,51.8524670049485
8,9:00,13.662569867474486,2.1332019514961766,6.217248937900877e-15,2.13320195149618,0.0,0.0,11.5293679159783,34.486871851904
9,10:00,11.256910143863996,6.598606273326365,-3.552713678800501e-15,6.59860627332637,0.0,0.0,4.65830387053763,22.9575039359257
10,11:00,10.046136069495143,9.647488666882548,-1.7763568394002505e-15,9.64748866688255,0.0,0.0,0.398647402612594,18.2992000653881
11,12:00,9.501619565686047,11.052799031346165,-3.552713678800501e-15,11.05279903134617,0.0,1.55117946566012,0.0,17.9005526627755
12,13:00,9.348789422534816,10.897057294099225,-3.552713678800501e-15,10.89705729409923,0.0,1.54826787156441,0.0,19.4517321284356
13,14:00,8.9742192906988,9.331994809139097,29.6422244815597,9.3319948091391,20.6680051908609,9.3319948091391,0.0,21.0
14,15:00,8.727911340672074,6.491193701472447,32.236717639199675,6.49119370147245,23.5088062985276,6.49119370147245,0.0,51.0
15,16:00,9.320434459479136,2.4543389730148744,6.866095486464266,2.45433897301487,0.0,0.0,0.0,81.0
16,17:00,13.392296447884712,0.0,13.392296447884712,0.0,0.0,0.0,0.0,81.0
17,18:00,22.784414974268767,0.0,-3.197442310920451e-14,0.0,0.0,0.0,22.7844149742688,81.0
18,19:00,27.49032914119853,0.0,2.842170943040401e-14,0.0,0.0,0.0,27.4903291411985,58.2155850257312
19,20:00,26.366351114341246,0.0,4.618527782440651e-14,0.0,0.0,0.0,26.3663511143412,30.7252558845327
20,21:00,25.11048467253052,0.0,20.75157990233907,0.0,0.0,0.0,4.35890477019145,4.35890477019145
21,22:00,22.50752318024228,0.0,22.50752318024228,0.0,0.0,0.0,0.0,0.0
22,23:00,18.233124762814494,0.0,18.233124762814494,0.0,0.0,0.0,0.0,0.0
23,0:00,13.161923019828897,0.0,13.161923019828897,0.0,0.0,0.0,0.0,0.0
